Rank,Country,Index level,Ranking change,Deadliness Rank,Diffusion Rank,Danger Rank,Fragmentation Rank
1,Palestine,Extreme,0,3,1,1,9
2,Myanmar,Extreme,0,4,8,6,1
3,Syria,Extreme,0,7,4,5,8
4,Mexico,Extreme,0,8,16,2,3
5,Nigeria,Extreme,0,5,19,7,10
6,Ecuador,Extreme,36,15,11,8,12
7,Brazil,Extreme,-1,9,30,4,4
8,Haiti,Extreme,3,14,6,20,13
8,Sudan,Extreme,0,2,26,10,15
10,Pakistan,Extreme,2,13,19,13,11
11,Cameroon,High,-2,22,12,9,17
11,Democratic Republic of Congo,High,2,10,29,15,6
11,Ukraine,High,3,1,5,3,51
14,Colombia,High,-4,19,24,14,5
15,Yemen,High,1,18,10,16,25
16,India,High,-1,23,42,11,2
17,Guatemala,High,18,28,14,23,19
17,Somalia,High,4,6,13,19,46
19,Lebanon,High,-12,35,2,30,24
19,Russia,High,0,20,34,12,25
21,Bangladesh,High,-3,36,21,22,14
22,Ethiopia,High,-2,11,30,24,31
22,Iraq,High,-5,30,16,29,21
24,Kenya,High,-1,26,34,17,21
25,South Sudan,High,0,17,24,18,42
26,Honduras,High,-1,31,26,25,23
27,Mali,High,-5,16,34,21,36
28,Jamaica,High,-4,38,9,48,16
29,Central African Republic,High,9,25,34,27,27
30,Burundi,High,3,43,16,35,27
31,Philippines,Turbulent,-2,31,42,30,20
32,Afghanistan,Turbulent,-3,24,39,26,35
32,Trinidad and Tobago,Turbulent,-1,45,3,34,42
34,Venezuela,Turbulent,-7,33,39,47,7
35,Libya,Turbulent,4,40,30,41,18
36,Niger,Turbulent,1,21,42,33,36
37,Burkina Faso,Turbulent,-9,12,21,38,62
38,Puerto Rico,Turbulent,-4,46,7,41,50
39,Mozambique,Turbulent,1,29,42,32,46
40,Iran,Turbulent,9,27,42,40,46
41,Uganda,Turbulent,4,44,42,36,36
42,Israel,Turbulent,-10,55,15,62,36
43,Peru,Turbulent,0,57,42,37,33
44,Ghana,Turbulent,4,39,39,44,56
45,Indonesia,Turbulent,-5,42,54,28,56
46,Chile,Turbulent,6,69,42,52,27
47,South Africa,Turbulent,-12,47,54,39,51
48,Nepal,Turbulent,3,70,42,55,27
49,Belize,Turbulent,7,59,30,66,42
50,Chad,Turbulent,0,37,54,53,56
51,United States,Low/Inactive,3,52,54,53,42
52,Bolivia,Low/Inactive,5,61,54,57,33
53,Tanzania,Low/Inactive,9,51,54,50,51
54,Benin,Low/Inactive,-9,34,34,49,93
55,Greece,Low/Inactive,5,81,42,58,31
55,Madagascar,Low/Inactive,-8,41,54,46,71
57,Angola,Low/Inactive,6,48,54,66,51
58,Malawi,Low/Inactive,-1,56,42,61,62
59,Germany,Low/Inactive,5,71,54,44,56
60,France,Low/Inactive,-3,72,54,59,46